종목코드,종목명,시장구분,시가총액,날짜,시가,고가,저가,종가,거래량
KOSDAQ,KOSDAQ 지수,KOSDAQ,0,20240329,906.45,922.57,903.61,905.5,5183883
KOSDAQ,KOSDAQ 지수,KOSDAQ,0,20240405,909.62,920.05,867.45,872.29,5001531
KOSDAQ,KOSDAQ 지수,KOSDAQ,0,20240412,873.76,873.76,847.54,860.47,3435497
KOSDAQ,KOSDAQ 지수,KOSDAQ,0,20240419,850.21,856.05,824.99,841.91,4756786
KOSDAQ,KOSDAQ 지수,KOSDAQ,0,20240426,844.95,865.15,840.29,856.82,4259502
KOSDAQ,KOSDAQ 지수,KOSDAQ,0,20240503,860.53,875.64,860.53,865.59,3262771
KOSDAQ,KOSDAQ 지수,KOSDAQ,0,20240510,874.69,876.94,862.81,864.16,3749937
KOSDAQ,KOSDAQ 지수,KOSDAQ,0,20240517,866.67,874.86,852.75,855.06,3780341
KOSDAQ,KOSDAQ 지수,KOSDAQ,0,20240524,856.22,857.51,836.95,839.41,4830993
KOSDAQ,KOSDAQ 지수,KOSDAQ,0,20240531,843.76,852.42,829.81,839.98,6370191
KOSDAQ,KOSDAQ 지수,KOSDAQ,0,20240607,840.33,866.48,839.58,866.18,3641224
KOSDAQ,KOSDAQ 지수,KOSDAQ,0,20240614,862.21,879.52,859.69,862.19,5066485
KOSDAQ,KOSDAQ 지수,KOSDAQ,0,20240621,860.13,866.21,848.5,852.67,4305004
KOSDAQ,KOSDAQ 지수,KOSDAQ,0,20240628,852.27,852.48,836.12,840.44,3558739
KOSDAQ,KOSDAQ 지수,KOSDAQ,0,20240705,840.59,849.25,828.49,847.49,3644885
KOSDAQ,KOSDAQ 지수,KOSDAQ,0,20240712,848.59,864.11,845.03,850.37,4292667
KOSDAQ,KOSDAQ 지수,KOSDAQ,0,20240719,852.62,852.93,812.9,828.72,4230249
KOSDAQ,KOSDAQ 지수,KOSDAQ,0,20240726,827.98,828.09,794.23,797.56,4489671
KOSDAQ,KOSDAQ 지수,KOSDAQ,0,20240802,800.64,815.28,778.39,779.33,3783744
KOSDAQ,KOSDAQ 지수,KOSDAQ,0,20240809,765.57,768.21,672.57,764.43,5052669
KOSDAQ,KOSDAQ 지수,KOSDAQ,0,20240816,767.21,788.86,757.19,786.33,4247044
KOSDAQ,KOSDAQ 지수,KOSDAQ,0,20240823,787.32,788.79,764.83,773.26,5061937
KOSDAQ,KOSDAQ 지수,KOSDAQ,0,20240830,776.94,777.91,754.0,767.66,4191865
KOSDAQ,KOSDAQ 지수,KOSDAQ,0,20240906,769.85,773.15,705.67,706.59,4415950
KOSDAQ,KOSDAQ 지수,KOSDAQ,0,20240913,696.25,734.35,693.86,733.2,4627076
KOSDAQ,KOSDAQ 지수,KOSDAQ,0,20240920,738.41,750.75,729.93,748.33,1968946
KOSDAQ,KOSDAQ 지수,KOSDAQ,0,20240927,749.24,780.91,747.83,774.49,4927647
KOSDAQ,KOSDAQ 지수,KOSDAQ,0,20241004,777.06,777.2,754.38,768.98,2895014
KOSDAQ,KOSDAQ 지수,KOSDAQ,0,20241011,774.77,784.03,769.68,770.98,3491532
KOSDAQ,KOSDAQ 지수,KOSDAQ,0,20241018,770.85,777.0,749.53,753.22,4450433
KOSDAQ,KOSDAQ 지수,KOSDAQ,0,20241025,754.35,761.62,725.27,727.41,4623821
KOSDAQ,KOSDAQ 지수,KOSDAQ,0,20241101,729.75,746.23,728.34,729.05,3816322
KOSDAQ,KOSDAQ 지수,KOSDAQ,0,20241108,730.5,761.01,727.1,743.38,4372360
KOSDAQ,KOSDAQ 지수,KOSDAQ,0,20241115,744.86,745.42,668.38,685.42,4314454
KOSDAQ,KOSDAQ 지수,KOSDAQ,0,20241122,683.53,697.45,672.83,677.01,4569689
KOSDAQ,KOSDAQ 지수,KOSDAQ,0,20241129,683.37,699.7,677.08,678.19,4378740
KOSDAQ,KOSDAQ 지수,KOSDAQ,0,20241206,684.15,692.81,644.39,661.33,4127682
KOSDAQ,KOSDAQ 지수,KOSDAQ,0,20241213,649.35,695.76,627.01,693.73,4716532
KOSDAQ,KOSDAQ 지수,KOSDAQ,0,20241220,699.81,701.67,667.0,668.31,4474104
KOSDAQ,KOSDAQ 지수,KOSDAQ,0,20241227,674.26,685.87,661.24,665.97,2946231
KOSDAQ,KOSDAQ 지수,KOSDAQ,0,20250103,662.68,706.46,661.92,705.76,2257767
KOSDAQ,KOSDAQ 지수,KOSDAQ,0,20250110,707.87,723.7,707.87,717.89,5371257
KOSDAQ,KOSDAQ 지수,KOSDAQ,0,20250117,713.98,725.78,707.6,724.69,4331592
KOSDAQ,KOSDAQ 지수,KOSDAQ,0,20250124,727.59,733.91,720.73,728.74,4219517
KOSDAQ,KOSDAQ 지수,KOSDAQ,0,20250131,724.96,728.41,723.3,728.29,687449
KOSDAQ,KOSDAQ 지수,KOSDAQ,0,20250207,718.26,744.68,700.57,742.9,4487721
KOSDAQ,KOSDAQ 지수,KOSDAQ,0,20250214,740.12,758.72,735.71,756.32,4605187
KOSDAQ,KOSDAQ 지수,KOSDAQ,0,20250221,759.21,781.54,757.77,774.65,4816260
KOSDAQ,KOSDAQ 지수,KOSDAQ,0,20250228,766.94,776.57,743.95,743.96,4443001
KOSDAQ,KOSDAQ 지수,KOSDAQ,0,20250307,739.68,750.43,725.97,727.7,2804910
KOSDAQ,KOSDAQ 지수,KOSDAQ,0,20250314,724.78,737.29,706.96,734.26,3511194
KOSDAQ,KOSDAQ 지수,KOSDAQ,0,20250321,740.14,748.07,713.82,719.41,3576606
