날짜,종목코드,종목명,업종명,시장구분,시가,고가,저가,종가,거래량,시가총액
2025-03-14,095570,AJ네트웍스,일반서비스,KOSPI,3885,3885,3810,3830,115799,173318066970
2025-03-14,006840,AK홀딩스,기타금융,KOSPI,10490,10800,10490,10800,4179,143073658800
2025-03-14,027410,BGF,기타금융,KOSPI,3345,3405,3330,3400,51629,325437089400
2025-03-14,282330,BGF리테일,유통,KOSPI,105900,105900,104300,104300,33512,1802711395800
2025-03-14,138930,BNK금융지주,기타금융,KOSPI,10290,10530,10230,10490,948999,3339843114310
2025-03-14,001460,BYC,섬유·의류,KOSPI,26800,27150,26450,27150,1285,169582972500
2025-03-14,001465,BYC우,섬유·의류,KOSPI,12460,12590,12460,12530,2065,26987740500
2025-03-14,001040,CJ,기타금융,KOSPI,107600,134400,106300,127800,774212,3728820344400
2025-03-14,079160,CJ CGV,오락·문화,KOSPI,4910,4955,4860,4930,128644,816310701520
2025-03-14,00104K,CJ4우(전환),기타금융,KOSPI,88400,97700,86200,97200,44677,410816966400
2025-03-14,000120,CJ대한통운,운송·창고,KOSPI,89900,92300,89900,90400,41004,2062235897600
2025-03-14,011150,CJ씨푸드,음식료·담배,KOSPI,3040,3140,3040,3110,305294,111744704030
2025-03-14,011155,CJ씨푸드1우,음식료·담배,KOSPI,15850,15850,15750,15830,107,3166000000
2025-03-14,001045,CJ우,기타금융,KOSPI,61400,73700,61400,65900,75017,148948695700
2025-03-14,097950,CJ제일제당,음식료·담배,KOSPI,250500,253000,248000,250500,55559,3771073593000
2025-03-14,097955,CJ제일제당 우,음식료·담배,KOSPI,133100,133900,131800,133700,1401,177477792100
2025-03-14,000480,CR홀딩스,비금속,KOSPI,5320,5350,5270,5310,14929,248988501900
2025-03-14,000590,CS홀딩스,기타금융,KOSPI,72000,72400,71400,72100,191,83238152200
2025-03-14,012030,DB,IT 서비스,KOSPI,1279,1284,1261,1266,161851,254686199178
2025-03-14,016610,DB금융투자,증권,KOSPI,5920,5930,5850,5900,65003,250433695100
2025-03-14,005830,DB손해보험,보험,KOSPI,96600,96700,94800,94900,113357,6718920000000
2025-03-14,000990,DB하이텍,전기·전자,KOSPI,44500,45250,44000,44700,170686,1984616883600
2025-03-14,139130,DGB금융지주,기타금융,KOSPI,8790,8930,8760,8870,205973,1475904428710
2025-03-14,000300,DH오토넥스,전기·전자,KOSPI,0,0,0,1984,0,161600154944
2025-03-14,001530,DI동일,유통,KOSPI,44350,45950,44200,45800,62983,887183510200
2025-03-14,000210,DL,화학,KOSPI,35600,36700,34900,35000,51435,733455940000
2025-03-14,000215,DL우,화학,KOSPI,19320,19840,19250,19300,1515,32542019500
2025-03-14,375500,DL이앤씨,건설,KOSPI,45000,45450,43100,43400,196578,1679303238200
2025-03-14,37550L,DL이앤씨2우(전환),건설,KOSPI,27350,28450,27350,27650,2733,58395445150
2025-03-14,37550K,DL이앤씨우,건설,KOSPI,17800,17800,17570,17760,2241,37542597600
2025-03-14,007340,DN오토모티브,전기·전자,KOSPI,20850,21000,20350,20600,54515,1205323819000
2025-03-14,004840,DRB동일,화학,KOSPI,4205,4255,4135,4245,3049,84602850000
2025-03-14,155660,DSR,금속,KOSPI,3875,3890,3760,3825,39111,61200000000
