종목코드,종목명,업종,RS,RS_1M,RS_2M,RS_3M,MTT,시가총액,테마명
016670,디모아,소프트웨어,99,93,81,82,0,20409823980,증강현실(AR)
257720,실리콘투,인터넷과카탈로그소매,98,17,25,46,0,1737282187200,"화장품,2021 하반기 신규상장"
065500,오리엔트정공,자동차부품,98,96,96,94,0,253943296000,"자동차부품,그래핀"
062970,한국첨단소재,통신장비,98,94,74,98,0,121973535240,"2019 하반기 신규상장,5G(5세대 이동통신),통신장비"
950160,코오롱티슈진,생물공학,98,98,97,98,98,4182169914000,고령화 사회(노인복지)
042660,한화오션,조선,98,34,95,98,0,22398819101400,"조선,방위산업/전쟁 및 테러"
177350,베셀,디스플레이장비및부품,98,96,98,98,0,20734313280,"드론(Drone),LCD장비,OLED(유기 발광 다이오드),UAM(도심항공모빌리티),터치패널(스마트폰/태블릿PC 등)"
161580,필옵틱스,전자장비와기기,98,2,96,98,0,901439601000,"PCB(FPCB 등),2차전지(장비),2차전지,플렉서블 디스플레이,OLED(유기 발광 다이오드)"
033790,피노,게임엔터테인먼트,98,5,89,32,0,132600468000,"통신장비,모바일게임(스마트폰)"
082270,젬백스,반도체와반도체장비,98,96,98,98,98,1599766960000,치매
003230,삼양식품,식품,98,80,89,90,98,6907774755000,음식료업종
064350,현대로템,기계,98,96,98,98,98,12169365669500,"철도,GTX(수도권 광역급행철도),방위산업/전쟁 및 테러,우주항공산업,수소차(연료전지/부품/충전소 등)"
323280,태성,전자장비와기기,98,36,83,85,0,899523571500,"2019 상반기 신규상장,기업인수목적회사(SPAC),PCB(FPCB 등)"
123330,제닉,화장품,98,79,37,84,0,187263980000,화장품
304360,에스바이오메딕스,생물공학,98,73,82,94,0,301866957200,"줄기세포,2023 상반기 신규상장"
160190,하이젠알앤엠,전동기/ 발전기 및 전기 변환 · 공급 · 제어 장치 제조업,98,4,94,98,0,946717200000,
