날짜,산업,섹터,티커,종목명,등락율
2025-03-17,마켓,코스피,069500,KODEX 200,1.18%
2025-03-17,마켓,코스닥,229200,KODEX 코스닥150,1.50%
2025-03-17,전력기기,전력기기,487240,KODEX AI전력핵심설비,-0.66%
2025-03-17,전력기기,에너지,433500,ACE 원자력테마딥서치,-1.90%
2025-03-17,전력기기,전력/태양광/ESS,457990,PLUS 태양광&ESS,0.28%
2025-03-17,헬스케어,의료AI,483020,KIWOOM 의료AI,-0.40%
2025-03-17,조선,조선,466920,SOL 조선TOP3플러스,2.21%
2025-03-17,조선,운송,140710,KODEX 운송,-0.38%
2025-03-17,자동차,자동차,091180,KODEX 자동차,-0.03%
2025-03-17,자동차,자동차소부장,464600,SOL 자동차소부장Fn,-0.76%
2025-03-17,헬스케어,바이오(코스닥),227540,TIGER 200 헬스케어,0.51%
2025-03-17,헬스케어,바이오(코스닥),261070,TIGER 코스닥150바이오테크,1.81%
2025-03-17,헬스케어,바이오,463050,TIMEFOLIO K바이오액티브,1.45%
2025-03-17,헬스케어,바이오(중소),460280,KIWOOM Fn유전자혁신기술,-0.38%
2025-03-17,헬스케어,의료기기기,464610,SOL 의료기기소부장Fn,-0.34%
2025-03-17,방산/우주항공,방산/우주항공,449450,PLUS K방산,5.40%
2025-03-17,방산/우주항공,방산/우주항공,463250,TIGER 우주방산,6.49%
2025-03-17,철강/화학/금속,철강/금속,139240,TIGER 200 철강소재,-0.58%
2025-03-17,철강/화학/금속,석유화학,139250,TIGER 200 에너지화학,-1.09%
2025-03-17,반도체,반도체,091160,KODEX 반도체,0.93%
2025-03-17,금융/보험,보험,140700,KODEX 보험,-0.44%
2025-03-17,건설,건설,139220,TIGER 200 건설,0.50%
2025-03-17,소비재/음식료,화장품,228790,TIGER 화장품,-0.51%
2025-03-17,소비재/음식료,화장품,479850,HANARO K-뷰티,-1.54%
2025-03-17,소비재/음식료,음식료,438900,HANARO Fn K-푸드,0.39%
2025-03-17,반도체,반도체전공정,475300,SOL 반도체전공정,0.73%
2025-03-17,반도체,반도체후공정,475310,SOL 반도체후공정,-0.18%
2025-03-17,금융/보험,금융,139270,TIGER 200 금융,0.35%
2025-03-17,금융/보험,은행,091170,KODEX 은행,1.37%
2025-03-17,금융/보험,증권,102970,KODEX 증권,1.24%
2025-03-17,기타,엔터,475050,ACE KPOP포커스,1.67%
2025-03-17,기타,엔터,228810,TIGER 미디어컨텐츠,0.82%
2025-03-17,기타,게임,364990,TIGER 게임TOP10,-1.21%
2025-03-17,기타,여행레저,228800,TIGER 여행레저,-0.17%
2025-03-17,기타,로봇,445290,KODEX K-로봇액티브,0.34%
2025-03-17,2차전지,2차전지,364980,TIGER 2차전지TOP10,-1.08%
2025-03-17,2차전지,2차전지소부장,455860,SOL 2차전지소부장Fn,-0.62%
2025-03-17,통신,통신사+데이터,098560,TIGER 방송통신,-0.13%
2025-03-17,통신,인터넷,157490,TIGER 소프트웨어,-0.06%
2025-03-17,통신,인터넷,365000,TIGER 인터넷TOP10,-2.50%
