종목코드,종목명,업종,RS,RS_1M,RS_2M,RS_3M,MMT,시가총액,테마명
016670,디모아,소프트웨어,99,91,85,81,0,21645285480,증강현실(AR)
012450,한화에어로스페이스,우주항공과국방,98,98,98,98,98,33319828691000,"CCTV＆DVR,드론(Drone),UAM(도심항공모빌리티),방위산업/전쟁 및 테러,반도체 장비,보안주(물리),지능형로봇/인공지능(AI),우주항공산업,항공기부품"
030350,드래곤플라이,게임엔터테인먼트,98,16,10,98,0,17416631470,"NFT(대체불가토큰),메타버스(Metaverse),증강현실(AR),모바일게임(스마트폰),가상현실(VR),게임"
244460,올리패스,화장품,98,17,0,0,0,10982044385,"mRNA(메신저 리보핵산),화장품,유전자 치료제/분석,2019 하반기 신규상장"
161580,필옵틱스,전자장비와기기,98,94,98,98,0,890014511000,"PCB(FPCB 등),2차전지(장비),2차전지,플렉서블 디스플레이,OLED(유기 발광 다이오드)"
065500,오리엔트정공,자동차부품,98,98,76,98,99,237754410880,"자동차부품,그래핀"
025950,동신건설,건설,98,92,79,98,0,433440000000,"조림사업,건설 중소형"
323280,태성,전자장비와기기,98,54,89,77,0,761187462000,"2019 상반기 신규상장,기업인수목적회사(SPAC),PCB(FPCB 등)"
177350,베셀,디스플레이장비및부품,98,79,99,98,0,17838659184,"드론(Drone),LCD장비,OLED(유기 발광 다이오드),UAM(도심항공모빌리티),터치패널(스마트폰/태블릿PC 등)"
456010,아이씨티케이,반도체 제조업,98,93,84,97,0,155604752320,
009620,삼보산업,1차 비철금속 제조업,98,6,4,99,0,32936042910,
015020,이스타코,부동산 임대 및 공급업,98,96,16,98,0,74561784000,
002630,오리엔트바이오,생물공학,98,72,33,98,0,180957665630,메르스 코로나 바이러스
900300,오가닉티코스메틱,화장품,98,5,6,98,0,19686858464,"국내 상장 중국기업,지주사,엔젤산업,화장품"
260970,에스앤디,식품,98,98,96,98,98,203360606200,"건강기능식품,2021 하반기 신규상장,음식료업종"
012170,아센디오,방송과엔터테인먼트,98,99,98,98,0,17648239392,"영화,엔터테인먼트"
033790,피노,게임엔터테인먼트,98,95,86,59,0,141501360000,"통신장비,모바일게임(스마트폰)"
113810,디젠스,자동차부품,98,95,93,98,0,71781712200,자동차부품
160190,하이젠알앤엠,전동기/ 발전기 및 전기 변환 · 공급 · 제어 장치 제조업,98,2,98,98,0,949806000000,
003230,삼양식품,식품,98,94,83,96,98,6824911590000,음식료업종
205500,넥써쓰,게임엔터테인먼트,98,3,55,98,0,180183778405,"게임,모바일게임(스마트폰)"
123330,제닉,화장품,98,85,58,92,0,190849886000,화장품
347700,라이프시맨틱스,건강관리기술,98,96,98,98,98,173234502180,"U-Healthcare(원격진료),2021 상반기 신규상장"
